protocol_context,graph_mode,model_name,trace_id,graph_instance_id,repeat_id,true_boundary_count,predicted_boundary_count,matched_boundary_count,boundary_recall_within_tolerance,boundary_precision_within_tolerance,boundary_f1_within_tolerance,boundary_mae_ns,boundary_median_absolute_error_ns,boundary_mean_signed_error_ns,tolerance_ns
direct_coherent_dynamic_graph,global_only_control,random_forest,d76e06ec722e29d63403,graph_0016,0,4,15,4,1.0,0.26666666666666666,0.4210526315789474,643.861789073241,349.1986972778086,294.66309179543236,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,dd9b9065d4daee34a8f5,graph_0022,1,4,19,4,1.0,0.21052631578947367,0.34782608695652173,482.57160950205025,391.09803881106836,-118.10894494086688,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,e406c4c517ca4e77bde1,graph_0017,1,5,26,5,1.0,0.19230769230769232,0.32258064516129037,899.5115137584471,601.5612311334371,-509.8139164466156,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,e96c9b39e2282bc2d11e,graph_0029,0,5,20,4,0.8,0.2,0.32000000000000006,599.3689232273207,254.7237605746468,-325.22702509663964,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,f86d183bc706edd32561,graph_0024,1,3,15,2,0.6666666666666666,0.13333333333333333,0.2222222222222222,990.2640849677455,990.2640849677455,169.74384567653306,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,fde38889d28d13ef0cbd,graph_0013,1,4,13,4,1.0,0.3076923076923077,0.47058823529411764,715.0951142679664,429.3325004784965,567.9667530681586,2520.0
entanglement_assisted_dynamic_graph,edge_localized,hist_gradient_boosting,0656b7acc12e2ea22cc8,graph_0029,1,5,20,5,1.0,0.25,0.4,528.1762303796417,381.1637248879315,-528.1762303796417,2520.0
entanglement_assisted_dynamic_graph,edge_localized,hist_gradient_boosting,0a24bfd82ffccfe6f093,graph_0013,1,4,23,4,1.0,0.17391304347826086,0.29629629629629634,629.646425116242,294.7415393842084,-272.0332469318414,2520.0
entanglement_assisted_dynamic_graph,edge_localized,hist_gradient_boosting,0fc998952b0aaacaac51,graph_0005,0,5,34,5,1.0,0.14705882352941177,0.25641025641025644,803.5294275969325,692.284219239793,-267.63238432874493,2520.0
entanglement_assisted_dynamic_graph,edge_localized,hist_gradient_boosting,2bdeb5bf77064fd44268,graph_0003,0,3,19,3,1.0,0.15789473684210525,0.2727272727272727,472.20258791923817,391.2058945325407,472.20258791923817,2520.0
