base_schedule_id,repeat_id,schedule_profile,victim_request_index,release_ns
base_0004,0,dense_periodic,36,16653.16953973961
base_0004,0,dense_periodic,37,17103.101752826
base_0004,0,dense_periodic,38,17557.62492882284
base_0004,0,dense_periodic,39,18013.771483934375
base_0004,0,dense_periodic,40,18466.705477759635
base_0004,0,dense_periodic,41,18917.160848611973
base_0004,0,dense_periodic,42,19376.705729217425
base_0004,0,dense_periodic,43,19825.453756789764
base_0004,1,dense_periodic,0,309.4119120968793
base_0004,1,dense_periodic,1,759.7133708952117
base_0004,1,dense_periodic,2,1215.2545122037664
base_0004,1,dense_periodic,3,1666.6663693455434
base_0004,1,dense_periodic,4,2118.895346225403
base_0004,1,dense_periodic,5,2575.5408035718033
base_0004,1,dense_periodic,6,3027.328153659413
base_0004,1,dense_periodic,7,3480.986384642514
base_0004,1,dense_periodic,8,3936.8482057046267
base_0004,1,dense_periodic,9,4389.054800763028
base_0004,1,dense_periodic,10,4840.59266446804
base_0004,1,dense_periodic,11,5297.896330938728
base_0004,1,dense_periodic,12,5746.3327226232595
base_0004,1,dense_periodic,13,6202.6565891463815
base_0004,1,dense_periodic,14,6656.266843682499
base_0004,1,dense_periodic,15,7112.55825276292
base_0004,1,dense_periodic,16,7563.262862039452
base_0004,1,dense_periodic,17,8013.349623560202
base_0004,1,dense_periodic,18,8467.840414304364
base_0004,1,dense_periodic,19,8919.949119762694
base_0004,1,dense_periodic,20,9373.747150665737
base_0004,1,dense_periodic,21,9832.897566123345
base_0004,1,dense_periodic,22,10283.729716486658
base_0004,1,dense_periodic,23,10740.865878686385
base_0004,1,dense_periodic,24,11191.183844018884
base_0004,1,dense_periodic,25,11648.626692905405
base_0004,1,dense_periodic,26,12098.637973358262
base_0004,1,dense_periodic,27,12549.565725376151
base_0004,1,dense_periodic,28,13007.910194240232
base_0004,1,dense_periodic,29,13458.453833875228
base_0004,1,dense_periodic,30,13914.92314573573
base_0004,1,dense_periodic,31,14368.589722246847
base_0004,1,dense_periodic,32,14819.766688203834
base_0004,1,dense_periodic,33,15272.52130918382
base_0004,1,dense_periodic,34,15731.304810774101
base_0004,1,dense_periodic,35,16182.873728981698
base_0004,1,dense_periodic,36,16638.056370441336
base_0004,1,dense_periodic,37,17092.023126801883
base_0004,1,dense_periodic,38,17546.364207750154
base_0004,1,dense_periodic,39,17996.282541145887
base_0004,1,dense_periodic,40,18449.662768184615
base_0004,1,dense_periodic,41,18907.00103401712
base_0004,1,dense_periodic,42,19354.58753265039
base_0004,1,dense_periodic,43,19809.847751432615
base_0005,0,synchronization_bursty,0,329.4742958987977
base_0005,0,synchronization_bursty,1,415.9942845566585
base_0005,0,synchronization_bursty,2,494.294398461392
base_0005,0,synchronization_bursty,3,576.8627706435215
base_0005,0,synchronization_bursty,4,653.1131019278355
base_0005,0,synchronization_bursty,5,733.805789705687
base_0005,0,synchronization_bursty,6,2021.728672793302
base_0005,0,synchronization_bursty,7,2107.1974811084974
base_0005,0,synchronization_bursty,8,2185.226137729139
base_0005,0,synchronization_bursty,9,2265.894903004877
base_0005,0,synchronization_bursty,10,2347.0607459688968
base_0005,0,synchronization_bursty,11,2425.2880858818557
base_0005,0,synchronization_bursty,12,3713.5700311604305
base_0005,0,synchronization_bursty,13,3797.493764891927
base_0005,0,synchronization_bursty,14,3873.3186857783594
base_0005,0,synchronization_bursty,15,3952.9709702055234
base_0005,0,synchronization_bursty,16,4035.9615011688343
base_0005,0,synchronization_bursty,17,4117.483695660429
base_0005,0,synchronization_bursty,18,5406.656396387509
base_0005,0,synchronization_bursty,19,5482.452043110888
base_0005,0,synchronization_bursty,20,5563.731871446596
base_0005,0,synchronization_bursty,21,5642.692523148274
base_0005,0,synchronization_bursty,22,5730.210553689893
base_0005,0,synchronization_bursty,23,5806.384423752179
base_0005,0,synchronization_bursty,24,7095.316553044129
base_0005,0,synchronization_bursty,25,7175.413582751593
base_0005,0,synchronization_bursty,26,7259.005459221374
base_0005,0,synchronization_bursty,27,7335.8480058477
base_0005,0,synchronization_bursty,28,7416.378990846396
base_0005,0,synchronization_bursty,29,7500.612259500019
base_0005,0,synchronization_bursty,30,8786.743422635172
base_0005,0,synchronization_bursty,31,8869.828918487923
base_0005,0,synchronization_bursty,32,8949.325502330354
base_0005,0,synchronization_bursty,33,9029.030642403666
base_0005,0,synchronization_bursty,34,9105.78163944996
base_0005,0,synchronization_bursty,35,9191.66159078882
base_0005,0,synchronization_bursty,36,10475.387012695928
base_0005,0,synchronization_bursty,37,10558.680184043855
base_0005,0,synchronization_bursty,38,10636.86457695961
base_0005,0,synchronization_bursty,39,10716.324362681256
base_0005,0,synchronization_bursty,40,10795.86338343238
base_0005,0,synchronization_bursty,41,10878.706348976346
base_0005,0,synchronization_bursty,42,12166.22813336165
base_0005,0,synchronization_bursty,43,12252.579869819316
base_0005,0,synchronization_bursty,44,12325.842591267448
base_0005,0,synchronization_bursty,45,12412.498785228112
base_0005,0,synchronization_bursty,46,12491.865407290272
base_0005,0,synchronization_bursty,47,12570.927621500898
base_0005,0,synchronization_bursty,48,13858.359790884939
base_0005,0,synchronization_bursty,49,13937.682280758328
base_0005,0,synchronization_bursty,50,14017.511325686357
base_0005,0,synchronization_bursty,51,14099.19740197794
base_0005,0,synchronization_bursty,52,14178.883458129765
base_0005,0,synchronization_bursty,53,14258.98099194503
base_0005,0,synchronization_bursty,54,15547.897820142629
base_0005,0,synchronization_bursty,55,15634.261813247214
base_0005,0,synchronization_bursty,56,15709.894686277332
base_0005,0,synchronization_bursty,57,15790.443038541649
base_0005,0,synchronization_bursty,58,15870.75597412791
base_0005,0,synchronization_bursty,59,15951.907611828932
base_0005,0,synchronization_bursty,60,17245.435143601044
base_0005,0,synchronization_bursty,61,17321.517140477663
base_0005,0,synchronization_bursty,62,17400.712891833115
base_0005,0,synchronization_bursty,63,17486.0597070263
base_0005,0,synchronization_bursty,64,17566.626496138837
base_0005,0,synchronization_bursty,65,17640.307403810213
base_0005,0,synchronization_bursty,66,18929.82470177332
base_0005,0,synchronization_bursty,67,19012.872191049366
base_0005,0,synchronization_bursty,68,19092.622070707366
base_0005,0,synchronization_bursty,69,19173.127361053695
base_0005,0,synchronization_bursty,70,19251.762215177238
base_0005,0,synchronization_bursty,71,19330.614623306225
base_0005,1,synchronization_bursty,0,330.7553498474965
base_0005,1,synchronization_bursty,1,407.09467050797787
base_0005,1,synchronization_bursty,2,491.7942483410812
base_0005,1,synchronization_bursty,3,574.1679129453732
base_0005,1,synchronization_bursty,4,653.0790289911371
base_0005,1,synchronization_bursty,5,731.2210439442338
base_0005,1,synchronization_bursty,6,2017.0363891781788
base_0005,1,synchronization_bursty,7,2101.250917222468
base_0005,1,synchronization_bursty,8,2178.955764650639
base_0005,1,synchronization_bursty,9,2260.0413750311573
base_0005,1,synchronization_bursty,10,2339.5867539843453
base_0005,1,synchronization_bursty,11,2423.1558424769287
base_0005,1,synchronization_bursty,12,3714.1517472466135
base_0005,1,synchronization_bursty,13,3791.814637764651
base_0005,1,synchronization_bursty,14,3873.543774170024
base_0005,1,synchronization_bursty,15,3948.223384755062
base_0005,1,synchronization_bursty,16,4032.7024872090133
base_0005,1,synchronization_bursty,17,4109.878810311781
base_0005,1,synchronization_bursty,18,5403.0591817368595
base_0005,1,synchronization_bursty,19,5486.007076569376
base_0005,1,synchronization_bursty,20,5563.630379114235
base_0005,1,synchronization_bursty,21,5641.175131618031
base_0005,1,synchronization_bursty,22,5723.028694967459
base_0005,1,synchronization_bursty,23,5804.417716896287
base_0005,1,synchronization_bursty,24,7097.066099082895
base_0005,1,synchronization_bursty,25,7172.868344532619
base_0005,1,synchronization_bursty,26,7251.5220192627485
base_0005,1,synchronization_bursty,27,7331.173061503251
base_0005,1,synchronization_bursty,28,7415.879360536516
base_0005,1,synchronization_bursty,29,7496.224435789406
base_0005,1,synchronization_bursty,30,8782.44568781776
base_0005,1,synchronization_bursty,31,8863.63848213273
base_0005,1,synchronization_bursty,32,8943.674285040988
base_0005,1,synchronization_bursty,33,9021.36371550199
base_0005,1,synchronization_bursty,34,9102.930675404787
base_0005,1,synchronization_bursty,35,9187.26244248144
base_0005,1,synchronization_bursty,36,10478.567371490246
base_0005,1,synchronization_bursty,37,10553.965878247953
base_0005,1,synchronization_bursty,38,10633.577308728882
base_0005,1,synchronization_bursty,39,10712.729354725827
base_0005,1,synchronization_bursty,40,10799.625267807274
base_0005,1,synchronization_bursty,41,10873.21700852297
base_0005,1,synchronization_bursty,42,12165.272768220313
base_0005,1,synchronization_bursty,43,12246.03052854582
base_0005,1,synchronization_bursty,44,12325.12540257506
base_0005,1,synchronization_bursty,45,12409.191857113436
base_0005,1,synchronization_bursty,46,12490.800192299017
base_0005,1,synchronization_bursty,47,12568.610392321954
base_0005,1,synchronization_bursty,48,13854.740599521127
base_0005,1,synchronization_bursty,49,13939.405012559731
base_0005,1,synchronization_bursty,50,14016.196707176074
base_0005,1,synchronization_bursty,51,14095.554334707222
base_0005,1,synchronization_bursty,52,14176.999793275216
base_0005,1,synchronization_bursty,53,14254.944154944376
base_0005,1,synchronization_bursty,54,15548.623389361392
base_0005,1,synchronization_bursty,55,15631.102928447837
base_0005,1,synchronization_bursty,56,15709.699820422326
base_0005,1,synchronization_bursty,57,15789.12896660743
base_0005,1,synchronization_bursty,58,15869.811062430084
base_0005,1,synchronization_bursty,59,15953.104198830197
base_0005,1,synchronization_bursty,60,17239.455932141416
base_0005,1,synchronization_bursty,61,17322.83033533214
base_0005,1,synchronization_bursty,62,17401.21520022492
base_0005,1,synchronization_bursty,63,17477.738255596592
base_0005,1,synchronization_bursty,64,17559.610207556372
base_0005,1,synchronization_bursty,65,17642.56090384543
base_0005,1,synchronization_bursty,66,18933.16078334257
base_0005,1,synchronization_bursty,67,19011.05302753086
base_0005,1,synchronization_bursty,68,19088.044693744116
base_0005,1,synchronization_bursty,69,19174.12482677763
base_0005,1,synchronization_bursty,70,19248.79575844489
base_0005,1,synchronization_bursty,71,19333.71592793424
base_0006,0,sparse_periodic,0,364.9046464475863
base_0006,0,sparse_periodic,1,1317.3275414722225
base_0006,0,sparse_periodic,2,2280.174464449756
base_0006,0,sparse_periodic,3,3237.11166043042
base_0006,0,sparse_periodic,4,4192.643608155379
base_0006,0,sparse_periodic,5,5143.737594595053
