trace_id,probe_index,release_ns,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected
isolated_backend_link1::sparse_periodic::trial4,1,450.0,715.0,718.8871319082159,265.0,268.8871319082159,3.887131908215906,True
isolated_backend_link1::sparse_periodic::trial4,2,870.0,1135.0,1135.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,3,1290.0,1555.0,1618.2822690876187,265.0,328.2822690876187,63.282269087618715,True
isolated_backend_link1::sparse_periodic::trial4,4,1710.0,1975.0,2003.2822690876187,265.0,293.2822690876187,28.282269087618715,True
isolated_backend_link1::sparse_periodic::trial4,5,2130.0,2395.0,2395.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,6,2550.0,2815.0,2815.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,7,2970.0,3235.0,3235.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,8,3390.0,3655.0,3655.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,9,3810.0,4075.0,4075.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,10,4230.0,4495.0,4495.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,11,4650.0,4915.0,4915.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,12,5070.0,5335.0,5335.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,13,5490.0,5755.0,5755.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,14,5910.0,6175.0,6175.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,15,6330.0,6595.0,6595.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,16,6750.0,7015.0,7016.095402367641,265.0,266.0954023676413,1.0954023676413271,True
isolated_backend_link1::sparse_periodic::trial4,17,7170.0,7435.0,7435.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,18,7590.0,7855.0,7914.258878358629,265.0,324.25887835862886,59.25887835862886,True
isolated_backend_link1::sparse_periodic::trial4,19,8010.0,8275.0,8299.258878358629,265.0,289.25887835862886,24.258878358628863,True
isolated_backend_link1::sparse_periodic::trial4,20,8430.0,8695.0,8695.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,21,8850.0,9115.0,9115.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,22,9270.0,9535.0,9535.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,23,9690.0,9955.0,9955.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,24,10110.0,10375.0,10375.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,25,10530.0,10795.0,10795.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,26,10950.0,11215.0,11215.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,27,11370.0,11635.0,11635.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,28,11790.0,12055.0,12055.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,29,12210.0,12475.0,12475.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,30,12630.0,12895.0,12895.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,31,13050.0,13315.0,13315.709274609562,265.0,265.70927460956227,0.7092746095622715,True
isolated_backend_link1::sparse_periodic::trial4,32,13470.0,13735.0,13735.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,33,13890.0,14155.0,14214.914569731378,265.0,324.9145697313779,59.914569731377924,True
isolated_backend_link1::sparse_periodic::trial4,34,14310.0,14575.0,14599.914569731378,265.0,289.9145697313779,24.914569731377924,True
isolated_backend_link1::sparse_periodic::trial4,35,14730.0,14995.0,14995.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,36,15150.0,15415.0,15415.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,37,15570.0,15835.0,15835.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,38,15990.0,16255.0,16255.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,39,16410.0,16675.0,16675.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,40,16830.0,17095.0,17095.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,41,17250.0,17515.0,17515.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,42,17670.0,17935.0,17935.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,43,18090.0,18355.0,18355.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,44,18510.0,18775.0,18775.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,45,18930.0,19195.0,19195.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,46,19350.0,19615.0,19615.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,47,19770.0,20035.0,20035.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,0,30.0,295.0,295.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,1,450.0,715.0,715.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,2,870.0,1135.0,1135.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,3,1290.0,1555.0,1555.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,4,1710.0,1975.0,1975.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,5,2130.0,2395.0,2395.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,6,2550.0,2815.0,2815.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial5,7,2970.0,3235.0,3235.0,265.0,265.0,0.0,False
